Date,stock_price
3/15/2023,62.262501
3/14/2023,61.645000
3/13/2023,60.895000
3/10/2023,60.794998
3/9/2023,59.990002
3/8/2023,60.127499
3/7/2023,59.102501
3/6/2023,58.820000
3/3/2023,58.592499
3/2/2023,58.830002
3/1/2023,58.967499
2/28/2023,59.052502
2/27/2023,57.522499
2/24/2023,56.757500
2/23/2023,56.099998
2/22/2023,56.764999
2/21/2023,56.752499
2/17/2023,55.205002
2/16/2023,54.740002
2/15/2023,56.147499
2/14/2023,55.992500
2/13/2023,54.705002
2/10/2023,54.972500
2/9/2023,55.257500
2/8/2023,54.419998
2/7/2023,54.680000
2/6/2023,54.432499
2/3/2023,55.240002
2/2/2023,55.692501
2/1/2023,55.174999
1/31/2023,54.974998
1/30/2023,54.687500
1/27/2023,55.772499
1/26/2023,55.897499
1/25/2023,54.174999
1/24/2023,53.542500
1/23/2023,53.314999
1/20/2023,53.320000
1/19/2023,52.297501
1/18/2023,51.424999
1/17/2023,52.185001
1/13/2023,52.252499
1/12/2023,51.382500
1/11/2023,51.040001
1/10/2023,51.622501
1/9/2023,50.660000
1/6/2023,53.115002
1/5/2023,53.160000
1/4/2023,52.590000
1/3/2023,52.587502
12/30/2022,51.625000
12/29/2022,50.435001
12/28/2022,50.687500
12/27/2022,52.242500
12/23/2022,50.119999
12/22/2022,50.247501
12/21/2022,50.857498
12/20/2022,49.759998
12/19/2022,49.250000
12/16/2022,48.334999
12/15/2022,51.005001
12/14/2022,52.107498
12/13/2022,53.259998
12/12/2022,52.195000
12/9/2022,52.419998
12/8/2022,51.935001
12/7/2022,51.755001
12/6/2022,52.167500
12/5/2022,52.209999
12/2/2022,51.805000
12/1/2022,50.647499
11/30/2022,51.415001
11/29/2022,50.837502
11/28/2022,51.125000
11/25/2022,51.302502
11/23/2022,50.825001
11/22/2022,50.437500
11/21/2022,50.807499
11/18/2022,50.310001
11/17/2022,50.005001
11/16/2022,51.057499
11/15/2022,51.102501
11/14/2022,50.682499
11/10/2022,50.387501
11/9/2022,49.480000
11/8/2022,49.935001
11/7/2022,49.950001
11/4/2022,48.892502
11/3/2022,49.645000
11/2/2022,49.695000
11/1/2022,49.865002
10/31/2022,49.467499
10/28/2022,49.612499
10/27/2022,48.472500
10/26/2022,48.185001
10/25/2022,48.537498
10/24/2022,48.547501
10/21/2022,48.702499
10/20/2022,48.145000
10/19/2022,47.537498
10/18/2022,46.305000
10/17/2022,45.634998
10/14/2022,44.910000
10/13/2022,43.325001
10/12/2022,43.767502
10/11/2022,44.575001
10/7/2022,44.345001
10/6/2022,44.557499
10/5/2022,44.742500
10/4/2022,44.915001
10/3/2022,45.695000
9/30/2022,46.650002
9/29/2022,45.772499
9/28/2022,47.250000
9/27/2022,47.520000
9/26/2022,47.730000
9/23/2022,47.165001
9/22/2022,46.430000
9/21/2022,49.294998
9/20/2022,50.180000
9/19/2022,50.724998
9/16/2022,50.715000
9/15/2022,52.119999
9/14/2022,52.937500
9/13/2022,52.287498
9/12/2022,52.630001
9/9/2022,50.167500
9/8/2022,51.152500
9/7/2022,51.075001
9/6/2022,51.320000
9/2/2022,51.790001
9/1/2022,51.869999
8/31/2022,51.132500
8/30/2022,50.965000
8/29/2022,50.782501
8/26/2022,49.812500
8/25/2022,49.807499
8/24/2022,49.717499
8/23/2022,49.737499
8/22/2022,50.154999
8/19/2022,49.875000
8/18/2022,50.025002
8/17/2022,49.250000
8/16/2022,48.922501
8/15/2022,48.837502
8/12/2022,48.505001
8/11/2022,47.810001
8/10/2022,47.487499
8/9/2022,47.180000
8/8/2022,47.117500
8/5/2022,46.697498
8/4/2022,47.185001
8/3/2022,47.762501
8/2/2022,48.772499
8/1/2022,47.040001
7/29/2022,46.632500
7/28/2022,47.005001
7/27/2022,46.529999
7/26/2022,45.932499
7/25/2022,45.427502
7/22/2022,45.227501
7/21/2022,44.724998
7/20/2022,43.227501
7/19/2022,43.125000
7/18/2022,43.630001
7/15/2022,43.882500
7/14/2022,43.962502
7/13/2022,43.742500
7/12/2022,43.287498
7/11/2022,43.717499
7/8/2022,43.582500
7/7/2022,43.557499
7/6/2022,43.242500
7/5/2022,42.764999
7/1/2022,43.007500
6/30/2022,42.732498
6/29/2022,42.605000
6/28/2022,42.700001
6/27/2022,42.544998
6/24/2022,42.722500
6/23/2022,42.357498
6/22/2022,42.602501
6/21/2022,42.735001
6/17/2022,43.560001
6/16/2022,43.544998
6/15/2022,42.812500
6/14/2022,41.630001
6/13/2022,41.610001
6/10/2022,41.312500
6/9/2022,38.669998
6/8/2022,39.075001
6/7/2022,39.439999
6/6/2022,38.174999
6/3/2022,38.480000
6/2/2022,38.325001
6/1/2022,39.205002
5/31/2022,38.965000
5/27/2022,38.735001
5/26/2022,38.267502
5/25/2022,37.500000
5/24/2022,38.072498
5/23/2022,38.450001
5/20/2022,38.327499
5/19/2022,37.687500
5/18/2022,36.982498
5/17/2022,37.064999
5/16/2022,35.547501
5/13/2022,39.480000
5/12/2022,39.435001
5/11/2022,39.057499
5/10/2022,39.037498
5/9/2022,39.292500
5/6/2022,36.707500
5/5/2022,37.682499
5/4/2022,39.207500
5/3/2022,40.222500
5/2/2022,41.517502
4/29/2022,40.985001
4/28/2022,41.369999
4/27/2022,42.737499
4/26/2022,42.275002
